name,photo_url,growth_form,care_difficulty,management_level,water_period_spring,water_period_summer,water_period_autumn,water_period_winter,growth_temp,sunlight,humidity,flower,content
가울테리아,http://www.nongsaro.go.kr/cms_contents/301/12938_MF_ATTACH_01_TMB.jpg,관목형,낮음 (잘 견딤),경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,여름,진달래과의 작은 관목으로 척박한 산성토양에서 잘 자라며 키는 20cm정도로 포복형이다.  암석정원에 잘 어울린다.
개운죽,http://www.nongsaro.go.kr/cms_contents/301/12954_MF_ATTACH_01_TMB.jpg,직립형,낮음 (잘 견딤),초보자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"화분에 심을 경우에는 부드럽고 배수가 잘 되는 토양에 심음
※ 개운죽은 관엽으로 분류되어 있지만 사실은 잎보다 잎이 떨어진 후 대나무처럼 보이는 줄기가 더욱 관상의 대상이 된다. 직선보다 곡선의 줄기가 필요한 경우에는 줄기를 곡선으로 유도할 수 있다."
골드크레스트 '윌마',http://www.nongsaro.go.kr/cms_contents/301/12955_MF_ATTACH_01_TMB.jpg,직립형,보통 (약간 잘 견딤),경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"※ Cupressus macrocarpa 품종 중에 'wilma', 'goldcrest' 등의 품종이 있는데, 우리가 사용하고 있는 율마라는 이름은 “wilma""에서 나온 것으로 생각된다. 따라서 율마라는 이름이 윌마로 교정되어야하지 않을까 고려된다.바람에 약하며 줄기 아랫부분의 잎이 떨어지면 황량한 느낌을 주지만 토피아리 형식으로 키울 수도 있다.크리스마스 트리로 실내에 장식하면 좋다."
공작야자,http://www.nongsaro.go.kr/cms_contents/301/12957_MF_ATTACH_01_TMB.jpg,직립형,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",70% 이상,여름,"포름알데히드, 벤젠, 톨루엔, 트리클로로 에틸렌"
관엽베고니아,http://www.nongsaro.go.kr/cms_contents/301/12962_MF_ATTACH_01_TMB.jpg,관목형,보통 (약간 잘 견딤),경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,봄,대부분의 종이 열대지역에서 건너왔기 때문에 따뜻한 기온이 필요하며 여름철에는 그늘진 곳에 배치하는 것을 추천한다. 생장이 시작되는 봄에 분갈이를 하고 보름 정도 지나서 비료를 주는 것을 추천한다. 베고니아는 잎이나 잎자루가 다즙질이어서 연약하므로 취급시에는 주의가 필요하다. 
관음죽,http://www.nongsaro.go.kr/cms_contents/301/12963_MF_ATTACH_01_TMB.jpg,관목형,보통 (약간 잘 견딤),경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"손바닥 모양의 잎을 가진 집에서 기르기 쉽고 그늘과 추위에도 잘 견디고 병해충에도 강하기기 때문에 기르기 쉬운 식물이다.
자라는 속도가 느려서 관리가 편하다. 반엽이 들어있는 종은 색상이 더욱 아름답다. 2년에 한 번씩 분갈이를 해 주면 좋다."
구문초,http://www.nongsaro.go.kr/cms_contents/301/12966_MF_ATTACH_01_TMB.jpg,관목형,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름",구문초는 꽃이 많이 피는 편에 속하는 허브입니다. 추위와 고온다습에 약한 식물이니 주의가 필요합니다. 가지치기를 해주는 것이 중요하며 새로운 줄기를 키워주어야 병충해의 발생을 줄일 수 있습니다. 
구즈마니아,http://www.nongsaro.go.kr/cms_contents/301/12972_MF_ATTACH_01_TMB.jpg,로제트형,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름",식물체 중심 잎과 잎 포기 사이 물통에 물이 고이도록 함
군자란,http://www.nongsaro.go.kr/cms_contents/301/12974_MF_ATTACH_01_TMB.jpg,풀모양,보통 (약간 잘 견딤),경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름",햇빛에 약한 식물이니 반그늘에서 키우는 것이 좋습니다. 
글레코마,http://www.nongsaro.go.kr/cms_contents/301/12988_MF_ATTACH_01_TMB.jpg,덩굴성,낮음 (잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름",글레코마는 성장 속도가 매우 빠른 식물입니다. 줄기 일부만 남겨두고 바짝 잘라도 새로운 줄기가 쉽게 나오면서 재생이 쉬운 식물입니다. 외국에서는 요리와 의약품에 많이 사용되지만 우리나라에서는 아직 안전하다고 발표된 것이 없기 때문에 함부로 먹지 마세요
금목서,http://www.nongsaro.go.kr/cms_contents/301/12990_MF_ATTACH_01_TMB.jpg,관목형,낮음 (잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,가을,땅에서부터 많은 줄기가 올라와 생울타리로 적당하다.
금식나무,http://www.nongsaro.go.kr/cms_contents/301/12998_MF_ATTACH_01_TMB.gif,관목형,낮음 (잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,봄,"민간요법으로 나무껍질과 잎을 뱀독이나 종기,화상 등에 약으로 쓰기도 한다."
금전수,http://www.nongsaro.go.kr/cms_contents/301/13186_MF_ATTACH_01_TMB.jpg,풀모양,낮음 (잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"그늘진 곳에서 잘 견디지만, 실내 밝은 간접광이 더 좋다.
환경 조건에 견디는 힘이 뛰어나고 과습한 상태에서 저온상태가 되면 뿌리가 썩기 쉽다.
수분이 많은 지하경을 가지고 광택이 있는 잎이 매력적이다."
금천죽,http://www.nongsaro.go.kr/cms_contents/301/13196_MF_ATTACH_01_TMB.jpg,관목형,낮음 (잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"포름알데히드, 벤젠, 톨루엔, 자일렌, 트리클로로 에틸렌"
기누라,http://www.nongsaro.go.kr/cms_contents/301/13199_MF_REPR_ATTACH_01_TMB.jpg,풀모양,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"물을 좋아하는 식물이기는 하지만 물을 너무 많이 주면 웃자라게 되고, 물이 부족하게 되면 잎이 뒤로 말리는 현상이 나타난다. 흙이 마를때 쯤 바로 물을 주면서 수분을 꾸준히 유지시켜 주는 것이 중요합니다. 더위에는 강하지만 추위에는 약한 식물입니다. "
꽃베고니아,http://www.nongsaro.go.kr/cms_contents/301/13201_MF_REPR_ATTACH_01_TMB.jpg,풀모양,보통 (약간 잘 견딤),경험자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"높은 광도(1,500~10,000 Lux)",70% 이상,"봄,여름,가을",베고니아는 수분이 많은 다육성 식물로 습기에 약합니다. 여름 장마철에는 환경을 건조하게 해주시는 것이 좋습니다. 
나도풍란,http://www.nongsaro.go.kr/cms_contents/301/13202_MF_ATTACH_01_TMB.jpg,로제트형,보통 (약간 잘 견딤),초보자,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux)",70% 이상,"봄,여름",나도풍란은 햇빛을 좋아하는 식물입니다. 공기 정화 효과에도 좋은 것으로 알려져 있고 크기도 작으며 관리도 쉬운 편입니다. 
나한송,http://www.nongsaro.go.kr/cms_contents/301/13203_MF_ATTACH_01_TMB.jpg,"직립형,관목형",낮음 (잘 견딤),초보자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,10~15℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",,,"나한송은 잎이 잘 떨어지거나 누렇게 변하지 않고 늘 푸르러 공기정화 효과가 좋다.
잎이 반질거리고 잎을 감상하기에 좋은 식물이다. 나한송 솔잎 모양에 화려하지 않지만 음지에서도 비교적 잘 자리고 자라는 속도는 늦어 실내용품으로 많이 애용하고 있다."
남천,http://www.nongsaro.go.kr/cms_contents/301/13206_MF_ATTACH_01_TMB.jpg,관목형,낮음 (잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름","꽃, 열매, 잎, 단풍이 모두 아름답고 실내의 동양적인 분위기에 잘 어울린다.

성숙한 열매를 남천실이라 하며 해수, 천식, 백일해, 간기능장애 등에 약제로 사용한다."
네마탄투스,http://www.nongsaro.go.kr/cms_contents/301/13207_MF_REPR_ATTACH_01_TMB.jpg,"관목형,덩굴성",보통 (약간 잘 견딤),경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름",네마탄투스는 습도에 예민합니다. 습한 환경에는 약하니 여름에는 관수량을 줄이는 것이 좋습니다. 겨울 추위에도 약하니 추운 겨울에는 실내에 들이고 미지근한 물로 관수하는 것을 추천한다.
녹영,http://www.nongsaro.go.kr/cms_contents/301/13210_MF_ATTACH_01_TMB.jpg,덩굴성,필요함,경험자,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,실내 걸이용 화분이고 건조에 강한 식물이므로 겉흙이 완전히 마르면 관수한다.   사계절을 통하여 피는 작고 하얀 꽃이 파란 콩 모양의 잎과 더불어 귀엽다. 온도가 낮은 환경에서는 특별히 흙을 건조하게 관리하여야 한다.
뉴기니아봉선화,http://www.nongsaro.go.kr/cms_contents/301/13218_MF_ATTACH_01_TMB.jpg,관목형,보통 (약간 잘 견딤),초보자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40% 미만,"봄,여름,가을","열대성 작물로 추위에 약한 다년생의 초본 또는 반 관목으로 반그늘에서도 생육 및 개화하 양호하다.

초장은 일반적으로 30~60cm로 자라고 잎은 난형피침형으로 긴 잎자루가 있으며 화경이 겨드랑이에서 나오고 화경마다 2.5~4.0cm되는 꽃이 1~3개 정도가 핀다.

 생육적온은 20~25℃정도이고, 15℃이하가 되면 생육 및 착화가 둔화된다.

5월에 모종을 구매해 햇빛이 잘 드는 실내에서 기르면 여름철 내내 꽃을 볼 수 있다.

뉴기니아 봉선화의 개화에 대한 일장반응은 중성식물로 계절에 관계없이 잘 개화한다.

"
대만고무나무,http://www.nongsaro.go.kr/cms_contents/301/13333_MF_ATTACH_01_TMB.jpg,"직립형,관목형",필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"대만고무나무의 밑둥을 분재처럼 둥글게 재배한 종류를 ‘인삼벤자민’,‘가쥬마루’라 부른다. 환경에 빨리 적응하지 못하므로 갑자기 햇빛으로 내놓거나, 실내로 옮기면 잎이 많이 떨어지므로 서서히 적응기간을 두어 옮긴다. 상록 교목으로 자생지에서는 25cm정도 자라지만 온실 화분내에서는 1.2~1.8m 정도 자란다. 줄기에는 기근이 발생된다.

잎 길이는 5~10cm정도이며 비후하고 광택이 있다. 번식은 삽목 또는 고취법으로 행한다. 동일종 내에서도 잎이 크기가 다르며 형태차도 크다."
더피고사리,http://www.nongsaro.go.kr/cms_contents/301/13335_MF_ATTACH_01_TMB.jpg,풀모양,낮음 (잘 견딤),경험자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",70% 이상,,"더피고사리는 습한 것을 좋아하는 양치류로 늘 신선한 물로 산소가 필요하므로 생장기에는 물이 부족하지 않도록 관리해야 한다.

수분이 부족하게 되면 바로 잎끝이 상한다. 한번 말리면 회복이 힘들다.

여름철 청량감을 주는 외형으로 그린인테리어로 많이 활용되며 추위에 비교적 잘 견디는 식물이다."
덕구리난,http://www.nongsaro.go.kr/cms_contents/301/13336_MF_ATTACH_01_TMB.jpg,"직립형,다육형",낮음 (잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"높은 광도(1,500~10,000 Lux)",40% 미만,,"
줄기 밑동에 물을 많이 저장하여 술병처럼 부푼 모양으로 비대한 줄기에 수분을 저장하고 있어 과습한 경우에 줄기가 물러질 수 있다.

덕리(德利:돗쿠리)는 입구가 좁고 긴 술병(일본어) 모습을 하고 있어 붙여진 이름으로 덕구리난은 실내가 실내가 고온건조하고 햇빛이 잘 드는 곳에서 자란다. 반음지에서도 자라긴 하나 너무 음지에서 자라면 웃자라서 모양이 망가지니 햇빛을 충분히 받도록 해야 한다.

덕구리난은 봄부터 가을 사이에는 화분의 흙 표면이 마르면 물을 충분히 주고, 더운 시기에는 잎에 물을 주고 추운시기에는 흙을 좀더 건조하게 관리한다. 5~10월에 완효성비료를 2개월에 한번 주고, 습기가 많으면 깍지벌레가 발생하기 쉬우니 주의한다."
데코라고무나무,http://www.nongsaro.go.kr/cms_contents/301/13337_MF_ATTACH_01_TMB.jpg,"직립형,관목형",필요함,초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"가지변이종으로 붉은 빛이 도는 짙은 녹색잎에, 뒷면 중륵과 잎자루가 붉은 갈색입니다.
열매는 긴 타원형이며 무화과같이 생기고 노란빛을 띤 녹색으로 성숙한다.
높이는 30cm이상 자라며, 털이 없고 잎과 줄기를 자르면 흰 즙이 나온다.
잎은 어긋나고 타원형이거나 긴 타원형이며, 어릴 때는 턱잎으로 싸이고 붉은빛을 띤다. 
꽃은 6∼7월에 피는데, 잎겨드랑이에 1∼2개의 꽃차례로 핀다. 
털이 없고 기근을 내린다. 잎과 줄기를 자르면 흰 즙이 나온다.
잎 표피 밑에 종유체가 있고, 꽃턱은 막질은 종이처럼 반투명 하다.
이 데코라고무나무의 변종으로 소피아고무나무가 있다."
덴파레,http://www.nongsaro.go.kr/cms_contents/301/13338_MF_ATTACH_01_TMB.jpg,"관목형,풀모양,다육형",보통 (약간 잘 견딤),경험자,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름,가을,겨울",덴파레는 가능한 밝은 창가에서 길러야한다. 저온에 약하기 때문에 최대한 따뜻한 곳에 두는 것을 추천한다. 꽃대 하나에 길게 뻗어 여러 개의 꽃이 달리고 연중 개화한다. 15도 이상의 온도를 유지할 수 없다면 대응책으로 최대한 물을 줄이고 스티로폼을 화분 안쪽에 채워 관리하는 것이 좋다. 덴파레는 갑자기 큰 화분에다 심으면 성장이 멈추는 경향이 있기 때문에 반드시 작은 화분에 심을 것을 권장한다. 작은 화분에 심은 후 새싹이 나오는 5~6월경에 이전의 분토와 썩은 뿌리를 제거해 옮겨 심도록 한다. 
도깨비고비,http://www.nongsaro.go.kr/cms_contents/301/13339_MF_ATTACH_01_TMB.jpg,풀모양,낮음 (잘 견딤),초보자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40% 미만,,"바닷가와 섬의 저지대의 바위틈에서 자란다.
잎자루의 길이는 15~40cm이며, 비늘조각이 붙는다.
잎 몸의 길이가 20~60cm, 폭이 10~25cm 잎 조각의 길이는 7~13cm, 폭 2.5~5.0cm이다.
상록성으로서 짧고 굵은 뿌리를 가진다.
겹잎으로 끝이 갑자기 뾰족해지며, 포자낭군은 뒷면 전체에 붙으며,
표막이 둥글고 성숙하면 중앙부가 흑갈색으로 된다."
돈나무,http://www.nongsaro.go.kr/cms_contents/301/13340_MF_ATTACH_01_TMB.jpg,관목형,낮음 (잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,봄,"돈나무란 Money tree와는 상관이 없고, 제주도에서 돈나무를 똥낭, 즉 똥나무라는 뜻으로 부르는데서 연유했다. 이는 열매가 겨우내 끈적한 점액질에 싸여 있어서 온갖 곤충과 벌레들이 모여들어 지저분하게 보이기 때문이다.
남쪽에서 주로 자라나며, 지역에 따라 이름이 여러 가지로 불린다.
높이가 최대 2~3m 까지 자라며, 잎의 길이는 4~10cm, 너비는 2~3cm
잎 가장자리에는 톱니가 없고 뒤로 말려 있으며, 꽃의 지름은 1cm안팎이다.
꽃이 지고 열매를 맺는데 길이가 1.5cm쯤 되고, 열매는 둥글거나 넓은 타원형이고 길이가 1.2cm 이며, 익으면 두 갈래로 붉은 씨가 나타난다. 생육온도는 16~10℃ 정도, 습도는 40~70% 정도 이다.
염분 저항성이 있어 해안지방의 방풍림으로 좋으며 목재는 어구 재료로사용하고 잎은 가축의 먹이로 이용가능하다. 
枝葉(지엽) 및 皮(피)를 七里香(칠리향)이라 하며 약용한다.
돈나무는 혈압을 낮추며 습진과 혈액순환에 약제로 쓰이기도 한다."
동백,http://www.nongsaro.go.kr/cms_contents/301/14663_MF_ATTACH_01_TMB.jpg,관목형,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,겨울","동백은 상록 활엽소 교목으로 남부지방, 제주도에 자생한다
꽃은 12~4월에 피어서 결실기는 가을이다.
잎은 타원형이고 길이 5~12cm. 폭 3~7cm이며, 엽병은 길이 2~15mm로
털이 없다. 
꽃의 열매는 지름 3~5mm로 붉은색이 돌며 9월에 성숙한다. (“산다화“라
하며 약용으로 이용한다.)
동백나무는 꽃봉오리의 채취시기는 춘추부터 곡우(4월) 사이에 채취한다."
둥근잎 아랄리아,http://www.nongsaro.go.kr/cms_contents/301/14674_MF_ATTACH_01_TMB.jpg,관목형,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"가장자리에 무늬가 있는 잎도, 무늬가 없는 잎도 다 같이 단정하고 매력적이어서 동양적인 이미지의 나무이다. 키가 큰 나무는 고가이므로 작은 크기의 나무를 사서 잘 관리한다. 키우기가 쉽지 않은 품종이다. 특히 환경이 맞지 않으면 잎이 쉽게 떨어지므로 직사광선이 아닌 밝은 빛에 식물을 두고 겨울에는 건조하거나 춥지 않게 관리해야 한다. 가장 중요한 문제는 습도조절이다. 자주 잎에 분무해 주면 공중습도 유지에 좋다.   삽목시에는 발근 촉진제를 사용하는 편이 성공할 확률이 높다."
듀란타,http://www.nongsaro.go.kr/cms_contents/301/14675_MF_ATTACH_01_TMB.jpg,관목형,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름","밭흙, 부엽, 모래를 5:3:2의 비율로 혼합한다. 봄, 가을에 고형비료 또는 물거름을 월 2-3회 주고 물은 흙이 말랐을 때에만 주며 겨울에는 관수량을 줄인다. 꽃의 향기가 좋으며 햇빛을 좋아하는 식물이다. 입과 열매에는 독성이 있으므로 먹지 않도록 한다. "
