name,photo_url,growth_form,care_difficulty,management_level,water_period_spring,water_period_summer,water_period_autumn,water_period_winter,growth_temp,sunlight,humidity,flower,content
드라세나  '송오브자마이카',http://www.nongsaro.go.kr/cms_contents/301/14676_MF_ATTACH_01_TMB.jpg,관목형,보통 (약간 잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"높이는 2-3m, 직립으로 자라며 잎은 길고 피침형으로 길이는 10-22cm, 폭 1.5-2cm의 황색바탕에 녹색의 외곽무늬가 들어 있으며 내음성이 강하다. 실내의 가장 밝은 장소에서 잘 자라는 편이며, 너무 어두운 그늘에 두고 키우면 광량 부족과 화분 흙이 과습한 경우 줄기가 가늘게 웃자라는 것은 물론 잎들이 떨어지며 줄기와 뿌리가 썩는 경우가 있다. 줄기를 잘라 삽목 하거나 어린 개체를 나누거나, 취목으로도 번식 할 수 있다. 잎끝 색이 바뀌거나 말라 들어가는 경우가 있으므로 2년에 한번 정도 청결한 흙으로 분갈이하는 것이 좋다. 줄기와 잎이 부드러운 느낌을 주어 실내 분화로 인기가 많다."
드라세나  '와네끼',http://www.nongsaro.go.kr/cms_contents/301/14687_MF_ATTACH_01_TMB.jpg,"직립형,관목형",보통 (약간 잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"드라세나 와네키는 생육속도가 느린 편 이지만 누구나 쉽게 키울 수 있는 공기정화 식물이다. 가정에서 키우면 키가 보통 1m 안팎으로 자라지만 환경이 좋은 곳에서는 3m까지도 자란다. (잎의 길이: 20~50cm 폭 2~5cm정도 된다.) 물은 보통이며 약간 건조한 환경에서도 스프레이로 분무하면 잘 자란다. (물을 과하게 줄 경우 잎 끝이 갈색으로 변하기도 하고 물이 너무 부족하면 병약한 잎이 나오기도 한다.)
분갈이 시 화원에서 판매하는 배수성이 좋은 화분용 배합토에 모래나 마사토를 20~30% 섞어서 하면 된다. 반그늘을 좋아하며 여름철에는 다습한 환경을 좋아한다. (주기적으로 화분 위치를 바꿔 골고루 햇빛을 받을 수 있도록 한다.)
벤젠 제거에 효과적인 에코플랜트이다."
드라세나 '송오브인디아',http://www.nongsaro.go.kr/cms_contents/301/14694_MF_ATTACH_01_TMB.gif,관목형,보통 (약간 잘 견딤),초보자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"고급스러운 이미지에 맞게 꽃말은 번영과 영광, 다양한 크기와 무늬를 가진 품종이다. 어두운 그늘에서 잘 적응하는 반음지 식물, 직사광선은 피하고 추위에 약해 겨울에 따뜻하게 관리해야 한다. 잎과 가지를 가지치기해서 정리해 주어야 새로운 가지가 잘 나온다. 영양공급을 뒷받침에 주어야 약하게 자라지 않고 3~4개 이상의 굵고 튼튼한 여러 개의 가지로 자라나게 할 수 있다.
노란색 바탕의 잎에 짙은 녹색 무늬를 가진 소형종이며, 낮은 광도 등의 환경이 비교적 좋지 않는 곳에서도 잘 자라므로 실내조경에 자주 사용될 뿐 아니라 일반 가정에서도 매우 인기가 있어서 선물용으로 많이 이용되고 있다."
드라세나 '자바',http://www.nongsaro.go.kr/cms_contents/301/14696_MF_ATTACH_01_TMB.jpg,관목형,보통 (약간 잘 견딤),경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"반음지성 식물이라서 통풍이 좋은 밝은 그늘에 두어야 하고 직사광선은 좋아하지 않습니다. 잎에 무늬가 없으며 공기정화식물이다. 공기정화식물은 증산작용이 활발한 식물로 주변의 공기와 수분이 식물 내로 흡수됨으로, 그 안에 포함된 유해 물질들이 뿌리 주변의 토양 속 미생물에 의해 분배된다. 또한, 증산작용도 활발해 증산에 의해 주변토양의 수분이 급속하게 식물체 내로 이동하고 뿌리 부근의 공기가 땅속으로 빨려 들어가면서 주변 공기의 이동이 일어납니다.
환경이 비교적 좋지 않은 장소에서도 잘 자라기 때문에 크게 자라면, 가늘지만 튼튼한 목대위에 푸른 잎이 풍성하게 자라서 멋진 수형을 감상할 수 있다."
드라세나 '콤팩타',http://www.nongsaro.go.kr/cms_contents/301/14697_MF_ATTACH_01_TMB.jpg,"직립형,관목형",보통 (약간 잘 견딤),초보자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"집안에서 키우기 아주 좋은 식물이며, 여름철에는 직사광선을 반드시 피해야 하고, 전체적으로 옥수수자루 같은 넓은 잎들이 방사형으로 무성하게 달리고 기왓장을 쌓듯 층층으로 성장한다. 
수분은 약간 축축해도 상관없지만 과습할 경우 잎이 가늘고 거칠어진다. 잎은 짙은 암녹색이고 광택이 나며 줄기에서 나선형으로 촘촘하게 돌려 나온다.
밭흙, 부엽, 모래를 3:5:2의 비율로 혼합하고, 4~9월에 월 1회 복합비료를 준다. 고온다습한 장마철 겨울은 물주기를 줄인다. 건조한 것을 싫어하는 식물이기 때문에 겨울에 건조해지면 분무기로 한 번씩 뿌려 주는 것이 좋다. 공기정화능력으로 뛰어나다.(포름알데히드, 벤젠, 톨루엔 등 제거)"
드라세나 '트리컬러 레인보우',http://www.nongsaro.go.kr/cms_contents/301/14698_MF_ATTACH_01_TMB.jpg,관목형,보통 (약간 잘 견딤),경험자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"줄기는 가늘고 키는 3~4m 정도까지 자라며 잎의 폭은 1~2cm, 길이 30~60cm이며 장검과 같이 자라고 잎 가장자리는 적색, 안쪽은 유백색이다. 잎 전체가 붉은빛을 띠고 있는 고온다습을 좋아한다.
 내음성도 강해서 오랫동안 실내에서 잘 견디며 실내 어느 곳에 놓아도 잘 조화를 이룬다."
드라세나 드라코,http://www.nongsaro.go.kr/cms_contents/301/14688_MF_ATTACH_01_TMB.jpg,관목형,필요함,초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"드라세나 드라코는 자연서식지에서는 거목이나 실내에서는 겨우 1m까지만 자란다. 빛이 충분하면 잎 가장자리에 약간 붉은색을 띄운다. 오래된 잎은 아래쪽으로 아치형을 그린다. 줄기나 잎을 자르면 그 단면에 붉은 액체가 흐른다고 해서 ‘용혈수’(龍血樹)라 불린다. 산소와 음이온을 많이 내뿜어 공기정화 효과가 뛰어나다. 이국적인 느낌의 관상가치가 높은 실내식물이다. 
"
드라세나 마지나타,http://www.nongsaro.go.kr/cms_contents/301/14689_MF_ATTACH_01_TMB.jpg,관목형,보통 (약간 잘 견딤),초보자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"우리나라에는 1960년대부터 들어와서 실내식물로 많이 알려졌다.
드라세나 마지나타는 잎 모양이 창처럼 가느다랗고 잎 길이는 60cm 내외이다. 또한, 야자수 잎처럼 뭉쳐나는 아름다운 잎들은 미술관, 관공서, 호텔, 쇼핑몰, 고급 레스토랑의 입구에서 우아한 자태를 뽐내곤 한다.
뿌리가 화분구멍으로 나오는 경우 흙이 굳어져서 물 흡수가 제대로 되지 않는 경우나, 뿌리가 썩어 식물 아랫부분 잎이 시드는 경우, 분갈이를 해주는 것이 좋다. 봄 4~6월, 겨울은 9~10월 사이에 하는 것이 좋다.
드라세나 마지나타는 자일렌과 트리클로로에틸렌 등 실내 독성물질 제거 능력이 우수해 공기청정기 역할을 톡톡히 해내므로 실내공기 정화에 좋다."
드라세나 맛상게아나,http://www.nongsaro.go.kr/cms_contents/301/14690_MF_ATTACH_01_TMB.jpg,"직립형,관목형",낮음 (잘 견딤),초보자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"열대 원산종의 원예 변종으로 대형종이다.
잎은 길이가 약 50~90cm, 폭은 5cm 내외이다. 잎의 폭은 넓고 끝이 뾰족하며 늘어지는데 마치 옥수수 잎을 연상시킨다. 
실내에서는 3m까지 생장하는데, 줄기 윗부분을 20cm 정도 잘라주면 새로운 싹이 나와 자라고, 원기회복에 큰 도움이 된다.
사무실이나 실내 장식이 많은 매장, 거실에 두면 보기에도 좋고 실내의 답답함을 없애, 공간을 시원하게 연출할 수 있다.
반그늘에서 잘 자라고 추위에도 강하다.
"
드라세나 산데리아나,http://www.nongsaro.go.kr/cms_contents/301/14691_MF_REPR_ATTACH_01_TMB.gif,"직립형,관목형",낮음 (잘 견딤),초보자,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"드리세나 산데리아나는 고온다습을 좋아하므로 물을 충분히 준다. 여름의 경우 하루에 두번, 겨울에는 하루에 한 번 잎에 물을 뿌려준다. 삽목이나 취목으로 대표하는 식물이다.  드리세나는 다양한 크기와 무늬를 가진 품종이 있는데, 식물 환경이 비교적 좋지 안흥ㄴ 곳에서도 잘 자라므로 관엽 식물로 널리 이용되고 있다. 물가꾸기로 실내를 장식할 수도 있다. 단 꽃을 보기는 어렵다. "
드라세나 수르쿨로사,http://www.nongsaro.go.kr/cms_contents/301/14695_MF_ATTACH_01_TMB.jpg,관목형,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40% 미만,," 60~90cm 정도 자라고 줄기는 작지만 강하고, 잎은 타원형으로 양 끝이 뾰족하다. 잎의 반점에 따라 플로리다 뷰티, 밀키웨이 등으로 나누어 지고, 긴 타원형 또는 달걀형으로 길이 10~13cm 정도로 어긋나고 각 마디마디 2~3개씩 달린다. 표면은 녹색으로 반들반들하고 불규칙한 흰 반점이 있다.
꽃은 흰색으로 얇은 꽃줄기와 함께 복산형 꽃차례로 작은 꽃이 둥글게 모여 피고 향기가 좋다.
한여름의 (8~9)월의 직사광선을 받는 곳은 피한다. 그 외의 계절에는 오전 햇빛을 조금 받게 하고 겨울에는 항상 햇빛을 받게 해주는 것이 좋다.
"
디지고데카,http://www.nongsaro.go.kr/cms_contents/301/14699_MF_ATTACH_01_TMB.jpg,"직립형,관목형",필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"세계적으로 15종이 자생하고 있다. 줄기는 강직하고, 잎은 좁고 길며 결각이 심하고 긴 잎자루가 있다. 줄기는 곧게 자라며, 높이는 9~12m까지 자란다. 잎자루는 길며, 잎은 가늘고 기다란 손가락 모양이고, 7~9개가 부챗살처럼 펼쳐 다린다. 잎색은 짙고 어두운 녹색이며 잎맥은 적갈색을 띤다. 가장자리는 굵고 깊게 팬 톱니 모양이다.
수분 변화가 심할 때 늙은 잎에서 불그스레한 타원형의 작은 반점으로 나타나는 부종 증상이 생길 수 있다. 이것은 생리적 장해이므로 수분 변화가 심하지 않게 주의해서 관리하면 예방할 수 있다. 디지고데카는 뿌리가 왕성하게 뻗지 못하기 때문에 할 수 있는 한 최대로 뿌리를 건강하게 관리하는 것이 필수적이다. 응애가 생기지 않도록 정기적으로 살펴보아야 한다."
디펜바키아 '마리안느',http://www.nongsaro.go.kr/cms_contents/301/14700_MF_ATTACH_01_TMB.gif,풀모양,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"부드러운 연녹색 잎의 중앙에 선명한 흰색 무늬가 있는 소형종이다. 잎 모양, 색깔, 크기 등에 따른 다양한 품종이 있다.
밝은 반그늘이 적합하고, 5~9월의 생장기에는 실외에서 키울 수 있다.
빛이 적고 따뜻한 실내에서 잘 자라고, 추위에 매우 약한 식물이기 때문에 찬바람에 노출되지 않게 주의하고, 분갈이는 따뜻한 봄에 하는 것이 좋다.
녹색 바탕 잎 중앙부분에 황백색의 무늬가 있어 부드러운 느낌을 자아낸다.
수액이 피부에 닿으면 알레르기, 가려움증이 생길 수 있으므로 주의한다."
디펜바키아 '트로픽스노우',http://www.nongsaro.go.kr/cms_contents/301/14713_MF_ATTACH_01_TMB.jpg,풀모양,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"줄기는 굵고 크며, 잎은 두껍고 넓다. 생육이 강건한 품종으로 내한력이 약하다. 대형종이며 줄기는 두터워지고, 잎은 광택이 있는 짙은 녹색으로 유백색의 불규칙한 반점 무늬가 있다. 직사광선이 아닌 실내 밝은 장소에서 잘 자란다.
식물 전체에 독이 있기 때문에 일단, 입에 들어가면 심하게 아프고 혀와 성대에 마비 증상이 생겨 한동안 말하기가 어렵고 또 수액이 피부에 닿으면 알레르기, 가려움증이 생길 수 있다. 식물 전체에 독이 있기 때문에 식용은 금한다. 
일단 입에 들어가면 심하게 아프고 혀와 성대에 마비 증상이 생겨 한동안 말하기가 어렵고 또 수액이 피부에 닿으면 알레르기, 가려움증이 생길 수 있다."
떡갈잎 고무나무,http://www.nongsaro.go.kr/cms_contents/301/14911_MF_ATTACH_01_TMB.jpg,"직립형,관목형",필요함,초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"큼직하고 진한 잎 색상 때문에 중후한 멋이 있는 떡갈잎 고무나무는 강한 생명력과 멋진 모양 덕분에 인기가 많다. 잎의 길이는 평균 30cm 정도이며, 잎이 두껍다. 잎자루가 짧고 잎면은 파상이 우글쭈글하다. 과습으로 인해 잎이 검게 변하면서 떨어질 수 있으므로 주의해야 한다. 갈나무에 익숙한 우리에게는 친근감이 감겨 단독으로 식재하는 것보다 모아 심는 것이 운치 있어 보인다."
러브체인,http://www.nongsaro.go.kr/cms_contents/301/14913_MF_ATTACH_01_TMB.jpg,"덩굴성,다육형",보통 (약간 잘 견딤),경험자,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40% 미만,,"온도가 적당하여 정상적인 성장이 지속한다면 그에 맞춰 비료도 자주 주어야 길게 늘어지며 자란다. 
폭포처럼 아래쪽으로 길게 늘어지는 특성이 있어 거실이나 베란다에 걸어두면 보기 좋다.
줄기는 1~3m까지 자라며, 잎 앞면에 회백색 그물 무늬가 있고 뒷면은 적자색이다. 다른 덩굴식물과는 달리 땅속줄기에 덩이뿌리(물 저장뿌리)가 있어 다습한 환경을 싫어하고, 건조에 강하다.
여름철에 1~2cm 분홍색 깔때기 모양으로 생긴 독특한 통꽃이 피고 꽃이 피는 기간은 긴 편이다.
번식은 줄기 삽목을 주로 이용하는데, 덩굴을 두세 마디씩 잘라서 땅에 꽂거나 덩굴에 생기는 작은 덩이를 묻어두면 싹이 난다. 

























































- 환기: 규칙적인 환기가 필요. 































































- 물관리: 과습과 과한 물주기는 피해야 함. 빗물을 주면 토양이 산성화 될 수도 있음. 따뜻한 물을 사용하세요.































































- 행잉 바구니에 적합한 식물."
렉스베고니아,http://www.nongsaro.go.kr/cms_contents/301/14920_MF_ATTACH_01_TMB.jpg,풀모양,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름","
 베고니아의 관상부위는 세 가지(꽃, 잎, 반관목성)로 구분하는데, 렉스베고니아는 잎 무늬를 관상하는 식물이다. 잎이 두텁고 얼룩무늬도 있으며 달팽이처럼 말린 것도 있고 종류가 매우 다양하다. 줄기의 온몸에 거친 털이 나 있다. 잎은 대형 달걀 모양으로 길이는 30cm, 폭은 20cm 정도이다. 잎 면에는 품종에 따라 보라색, 빨간색, 은백색, 구릿빛 등 다양한 무늬가 있다. 렉스베고니아는 잎꽂이로 번식이 쉽다. 벤치 아래, 시원하고 습한 그늘에서 가장 이상적인 성장을 한다.
"
루모라고사리,http://www.nongsaro.go.kr/cms_contents/301/15830_MF_REPR_ATTACH_01_TMB.jpg,"덩굴성,풀모양",특별 관리 요구,전문가,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",70% 이상,,"건조시에 분무기로 스프레이를 해주는 것도 좋다. 영양제는 봄부터 가을까지 한달에 두번 정도 액체비료를 준다. 하이포넥스나 바이오 가든, 등등 액체비료를 다른 화초에 주는 것보다 조금 약하게 물에 희석을 시켜서,분에 뿌리가 꽉차면 포기나누기 로 번식을 시킨다."
루스커스,http://www.nongsaro.go.kr/cms_contents/301/16034_MF_REPR_ATTACH_01_TMB.jpg,관목형,낮음 (잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"루스커스는 새로 자란 새순은 밝은 녹색으로, 자라난지 일정 기간이 지나면 녹색을 띈다. 어두운 녹색을 띈 잎의 경우는 물올림이 좀 더 쉬우며 잘 시들지 않습니다. 꽃다발, 꽃꽃이에도 두루 사용할 수 있는 대표적 꽃이며 싱그러운 느낌을 연출하기 위해 단독으로도 많이 사용된다. 꽃이 잎 뒤 조그맣게 종처럼 달리기 때문에 벌레로 오해하지 않도록 주의한다. "
마란타 류코뉴라,http://www.nongsaro.go.kr/cms_contents/301/16038_MF_ATTACH_01_TMB.jpg,풀모양,필요함,초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"잎에 독특한 무늬와 잎이 말려드는 습성이 있어 인상적인 마란타 류코뉴라는 영어 이름 ‘prayer plant(기도하는 식물)’ 로, 해질 무렵이면 기도할 때 손을 모으듯 위로 접히는 잎의 모양에서 유래한다. 잎이 접히는 이유는 체내의 습도를 유지하기 위해 낮에는 옆으로 펴져 있다가 밤이 되면 위로 모이는 현상을 보인다. 초장과 초폭은 각각 30cm 정도이고, 따뜻하고, 습한 지역에서 잘 성장한다. 온도, 습도가 낮은 건조하고 추운 환경에서는 잎이 갈색으로 변하여 떨어지거나 잎이 틀어질 수 있으므로, 건조한 경우 일정한 습도 유지에 주의해야 한다."
마삭줄,http://www.nongsaro.go.kr/cms_contents/301/16238_MF_ATTACH_01_TMB.jpg,덩굴성,보통 (약간 잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,여름,"상록의 덩굴성 목본으로 흑갈색 줄기를 가지고 있다. 줄기는 길게 약 5m 정도 뻗으며, 줄기에서 뿌리를 내려 바위나 나무 등에 기어오른다. 꽃은 5~6월에 흰색으로 피고 지름은 2~3cm이며, 흰색에서 노란색으로 변하고 취산꽃차례를 이룬다. 타원형의 잎은 마주나며, 길이 2~5cm로 윤이 나고 두껍다. 열매는 원통형의 골돌과로 9월에 익으며 길이 12~22cm로 2개가 달린다. 잎과 줄기는 해열, 강장, 진통 및 생리통 등에 약용으로 쓰이기도 한다. 산지 숲 가장자리나 숲 속 습기가 있는 곳의 바위나, 큰 나무줄기에 칭칭 동여맨 듯 부착되어 있다."
만년청,http://www.nongsaro.go.kr/cms_contents/301/16239_MF_ATTACH_01_TMB.jpg,풀모양,낮음 (잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름"," 내한성 상록 다년초로 굵은 땅속줄기 끝에서 9~12장의 녹색 잎이 모여난다. 높이 30~50cm이다. 잎의 길이는 30~40cm, 너비 3~5cm이고, 넓은 바소꼴이며 육질이고 윤기가 있다. 꽃은 5~7월에 연한 노란색이나 흰색으로 피고 잎 사이에서 자란 길이 2~4cm의 수상꽃차례에 빽빽이 달린다. 열매는 장과이고 둥글며 지름 1cm 정도로 8월에 붉게 익으며 간혹 황색도 있다. 잎은 1년에 보통 3-4장 나오는데 잎의 수명은 길면 3-4년정도이다. 가능한 자르지 말고 그대로 둔다.근경에는 로데인(Rohdein)이 들어 있어 강심제와 이뇨제로 악용된다. 잎에 여러 가지 색채가 든 무늬 종이 많이 나와 주로 관상용으로 이용되었다. "
만데빌라,http://www.nongsaro.go.kr/cms_contents/301/16241_MF_REPR_ATTACH_01_TMB.jpg,덩굴성,필요함,경험자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,"봄,여름,가을","브라질 자스민, 동백 자스민이란 이름처럼 꽃이 화려하고 은은한 향기를 지닌 매력적인 덩굴식물로 약간 건조하게 관리한다."
멕시코소철,http://www.nongsaro.go.kr/cms_contents/301/16245_MF_ATTACH_01_TMB.jpg,풀모양,낮음 (잘 견딤),초보자,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",40 ~ 70%,,"소철은 열대 및 아열대 아메리카에 약 40종이 분포한다. 
잎은 1년에 한번씩 새로 자라나며, 줄기의 끝이 굵은 것 일수도록 많이 나오고, 새로 나온 잎이 완전히 굳어질 때까지 먼저 잎을 자르지 않는 것이 좋다. 잎은 골판지처럼 딱딱해서 이국적인 모습을 연출할때 이용한다.
줄기는 괴경상으로 높이는 15cm, 엽장은 120cm까지 있고 소엽은 딱딱하고 4~22 개가 마주난다. 잎은 반 광택이 있는 황록색으로 마치 소철잎과 같이 붙어 있으나 엽육이 두텁고 잎이 크며 주로 관엽식물로 재배되고 있으며, 깃털모양의 우상엽(깃털잎)이다.
줄기와 잎은 갈색의 뽀얀 털 내지는 가루 같은 것으로 덮여있다."
